no_of_iteration,test_error,training_error
19450.0,0.2758505456149578,0.176301758736372
19500.0,0.27594889514148235,0.17616105871275067
19550.0,0.2760399542748928,0.17601946601644158
19600.0,0.27615046314895153,0.1758741126395762
19650.0,0.27625496312975883,0.17573065171018246
19700.0,0.27634925581514835,0.17559022922068834
19750.0,0.27646033093333244,0.17544828681275249
19800.0,0.2765761259943247,0.17530582007020712
19850.0,0.27668521739542484,0.17516044294461608
19900.0,0.2767928484827281,0.1750218435190618
19950.0,0.27690185047686106,0.17488180426880715
20000.0,0.2769889608025551,0.17474302696064115
20050.0,0.19792453199625007,0.19287998043000693
20100.0,0.19844131916761398,0.1922086053527892
20150.0,0.1989091783761978,0.19169086404144764
20200.0,0.1993225421756506,0.19125234615057707
20250.0,0.19970132783055305,0.1908546467311681
20300.0,0.20003692246973515,0.1904883454553783
20350.0,0.20030931569635868,0.19015040760859847
20400.0,0.20054906979203224,0.1898385430686176
20450.0,0.2007929850369692,0.18954873969778416
20500.0,0.2010033894330263,0.18926346627995366
20550.0,0.2012251615524292,0.18899147398769853
20600.0,0.20143009908497334,0.1887292144820094
20650.0,0.201603963971138,0.18847256060689688
20700.0,0.2017693407833576,0.1882273466326297
20750.0,0.2019201852381229,0.18798607680946589
20800.0,0.2020808458328247,0.1877497644163668
20850.0,0.2022558804601431,0.18752826796844602
20900.0,0.202412448823452,0.18730587186291814
20950.0,0.20255363918840885,0.18708239635452628
21000.0,0.20272029750049114,0.186865056399256
21050.0,0.1866537369787693,0.19127571675926447
21100.0,0.18721268139779568,0.1908871661871672
21150.0,0.1876888424158097,0.1905370857566595
21200.0,0.1880995221436024,0.19023584621027112
21250.0,0.18849240615963936,0.1899529350921512
21300.0,0.18882141262292865,0.1896882951259613
21350.0,0.1891535352915525,0.1894355616532266
21400.0,0.18944516964256766,0.1891991551965475
21450.0,0.189717460423708,0.18897115718573326
21500.0,0.1900121085345745,0.18874146789312365
21550.0,0.19027699530124664,0.18850694131106133
21600.0,0.19054567255079746,0.18829512083902955
21650.0,0.1908048503100872,0.1880693449638784
21700.0,0.19103001430630684,0.1878556204028428
21750.0,0.1912539917975664,0.18766331858932966
21800.0,0.19146456383168686,0.1874618390575052
21850.0,0.1916730087250471,0.18724663415923715
21900.0,0.19188267551362514,0.1870522298850119
21950.0,0.1920828465372324,0.18684824090451
22000.0,0.1922775898128748,0.1866555563174188
22050.0,0.16624288819730282,0.19178647780790925
22100.0,0.16681758128106594,0.1913958010263741
22150.0,0.16724838316440582,0.19106165878474712
22200.0,0.16765213944017887,0.19075273256748915
22250.0,0.16801326908171174,0.19045827025547624
22300.0,0.1683449875563383,0.1901779305189848
22350.0,0.16866598464548588,0.18990669725462794
22400.0,0.16896408051252365,0.18964348128065467
22450.0,0.16923362016677854,0.1893869061022997
22500.0,0.16947809234261513,0.1891373391263187
22550.0,0.16972063668072224,0.18889074446633453
22600.0,0.16995074041187766,0.1886501577682793
22650.0,0.17015191167593002,0.1884112749248743
22700.0,0.17035744339227674,0.1881790435872972
22750.0,0.1705626416951418,0.18794786650687456
22800.0,0.17077262699604034,0.1877171057276428
22850.0,0.17098122090101242,0.1874901195988059
22900.0,0.17118325270712376,0.18726289132609966
22950.0,0.17137730866670609,0.1870407029055059
23000.0,0.17157713696360588,0.18682303559035066
23050.0,0.17178050987422466,0.18661087937653065
23100.0,0.1719683911651373,0.1863994561135769
23150.0,0.1721453294157982,0.18619041191414
23200.0,0.17230043187737465,0.18598783947527409
23250.0,0.17245819047093391,0.1857841671444476
23300.0,0.17261476628482342,0.18558199563995004
23350.0,0.17276626080274582,0.1853820336982608
23400.0,0.17290744930505753,0.1851842803880573
23450.0,0.1730546411126852,0.18498762045055628
23500.0,0.17320538125932214,0.18479361105710268
23550.0,0.17336146347224712,0.18459811387583613
23600.0,0.17351017519831655,0.1844027442857623
23650.0,0.17364897765219212,0.184206085279584
23700.0,0.173787422478199,0.18401423329487449
23750.0,0.17391319200396538,0.18382103508338327
23800.0,0.17404163256287575,0.1836293824017048
23850.0,0.17417120188474655,0.18344291066750884
23900.0,0.17429576441645622,0.1832527993246913
23950.0,0.1744269672781229,0.1830662814900279
24000.0,0.17455392889678478,0.1828813799656928
24050.0,0.17468003556132314,0.1827019513584673
24100.0,0.17480269819498062,0.18251981772482395
24150.0,0.17492697201669216,0.18234324175864453
24200.0,0.175038430839777,0.18216692144051194
24250.0,0.17515095695853233,0.18199063930660486
